 median_aud, median_age_of_earners_years, earners_persons, lga_code, gini_coefficient_coef, lga_name, mean_aud, sum_aud
38607,49,7546,20110,0.466,Alpine,47467,3.58E+08
43190,47,6215,20260,0.454,Ararat,49515,3.08E+08
47859,43,57540,20570,0.453,Ballarat,57871,3.33E+09
54519,43,76202,20660,0.479,Banyule,70497,5.37E+09
37559,49,18630,20740,0.482,Bass Coast,46996,8.76E+08
44473,46,29050,20830,0.463,Baw Baw,53914,1.57E+09
61075,48,65596,20910,0.59,Bayside,105628,6.93E+09
41382,50,7673,21010,0.462,Benalla,47751,3.66E+08
58284,45,115441,21110,0.587,Boroondara,97424,1.12E+10
44657,39,104733,21180,0.418,Brimbank,51044,5.35E+09
40377,51,3456,21270,0.501,Buloke,50286,1.74E+08
43348,47,21378,21370,0.449,Campaspe,49521,1.06E+09
49998,40,58503,21450,0.414,Cardinia,57426,3.36E+09
48849,39,179915,21610,0.406,Casey,55672,1.00E+10
38497,48,5839,21670,0.445,Central Goldfields,43669,2.55E+08
42658,46,13013,21750,0.451,Colac-Otway,48573,6.32E+08
39678,48,9323,21830,0.491,Corangamite,46348,4.32E+08
51258,38,88353,21890,0.449,Darebin,63526,5.61E+09
38352,50,24252,22110,0.475,East Gippsland,45839,1.11E+09
50037,42,78476,22170,0.415,Frankston,57423,4.51E+09
39492,49,5689,22250,0.497,Gannawarra,46301,2.63E+08
44307,43,35982,22830,0.442,Greater Shepparton,51301,1.85E+09
40005,50,8527,22910,0.497,Hepburn,50942,4.34E+08
46228,50,3029,22980,0.471,Hindmarsh,56366,1.71E+08
56246,41,53219,23110,0.452,Hobsons Bay,70356,3.74E+09
46597,46,11783,23190,0.43,Horsham,52826,6.22E+08
47083,38,108651,23270,0.412,Hume,53851,5.85E+09
46075,49,9787,23350,0.444,Indigo,52440,5.13E+08
52380,43,94050,23430,0.453,Kingston,64443,6.06E+09
49534,43,96219,23670,0.435,Knox,58184,5.60E+09
47488,44,38088,23810,0.457,Latrobe,58901,2.24E+09
40186,51,3843,23940,0.491,Loddon,48282,1.86E+08
52378,46,28586,24130,0.477,Macedon Ranges,67328,1.92E+09
45855,47,74564,24210,0.533,Manningham,66773,4.98E+09
38450,50,5214,24250,0.471,Mansfield,47284,2.47E+08
52337,36,51991,24330,0.438,Maribyrnong,63413,3.30E+09
50897,43,67661,24410,0.437,Maroondah,60531,4.10E+09
45832,32,93580,24600,0.564,Melbourne,69864,6.54E+09
51292,39,78446,24650,0.396,Melton,57744,4.53E+09
44017,43,30092,24780,0.448,Mildura,50785,1.53E+09
49954,42,23844,24850,0.41,Mitchell,56546,1.35E+09
40902,47,15885,24900,0.469,Moira,46822,7.44E+08
45134,42,110654,24970,0.503,Monash,59893,6.63E+09
56666,41,74119,25060,0.476,Moonee Valley,73491,5.45E+09
51953,44,19247,25150,0.436,Moorabool,61848,1.19E+09
51883,36,102635,25250,0.436,Moreland,62418,6.41E+09
45701,48,93977,25340,0.501,Mornington Peninsula,62303,5.86E+09
41890,50,10112,25430,0.474,Mount Alexander,50516,5.11E+08
43405,47,10000,25490,0.463,Moyne,51540,5.15E+08
40116,49,8097,25620,0.49,Murrindindi,48942,3.96E+08
55611,46,40468,25710,0.474,Nillumbik,72500,2.93E+09
42116,48,6431,25810,0.45,Northern Grampians,48353,3.11E+08
62315,37,74695,25900,0.525,Port Phillip,90234,6.74E+09
38503,49,3620,25990,0.504,Pyrenees,46133,1.67E+08
39498,59,1990,26080,0.573,Queenscliffe,62471,1.24E+08
39315,49,16512,26170,0.487,South Gippsland,48360,7.99E+08
48650,45,13317,22490,0.436,Golden Plains,56876,7.57E+08
47061,44,63107,22620,0.436,Greater Bendigo,55041,3.47E+09
41408,37,82443,22670,0.419,Greater Dandenong,46935,3.87E+09
48258,43,138982,22750,0.456,Greater Geelong,59313,8.24E+09
42821,48,9550,26260,0.484,Southern Grampians,52358,5.00E+08
64514,38,76418,26350,0.59,Stonnington,108727,8.31E+09
41407,51,5980,26430,0.489,Strathbogie,48758,2.92E+08
48467,46,20093,26490,0.498,Surf Coast,64365,1.29E+09
45151,44,11730,26610,0.455,Swan Hill,53116,6.23E+08
39341,52,3661,26670,0.481,Towong,47196,1.73E+08
43804,47,16474,26700,0.456,Wangaratta,51486,8.48E+08
46605,43,20445,26730,0.465,Warrnambool,58079,1.19E+09
43267,47,23056,26810,0.495,Wellington,53746,1.24E+09
43252,51,2361,26890,0.497,West Wimmera,53075,1.25E+08
46165,43,100215,26980,0.505,Whitehorse,62244,6.24E+09
48592,38,113717,27070,0.402,Whittlesea,55022,6.26E+09
49253,42,23169,27170,0.403,Wodonga,54664,1.27E+09
50282,37,134914,27260,0.412,Wyndham,57657,7.78E+09
63503,35,62165,27350,0.483,Yarra,83781,5.21E+09
49136,44,91872,27450,0.439,Yarra Ranges,58887,5.41E+09
45898,51,3624,27630,0.485,Yarriambiack,58129,2.11E+08
55256,42,92499,22310,0.508,Glen Eira,76641,7.09E+09
44647,48,10907,22410,0.453,Glenelg,53522,5.84E+08
